[2026-05-09 11:56:31] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=complete_training role=welfare_user | Application 'APP-2' not found
[2026-05-09 12:00:31] [FAIL] app=APP-2 from=UNKNOWN to=acc_generated action=set_status role=welfare_user | Application 'APP-2' not found
[2026-05-10 16:42:20] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=verify role=welfare_admin | Application 'APP-1' not found
[2026-05-10 16:42:26] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=complete_training role=welfare_admin | Application 'APP-1' not found
[2026-05-10 16:44:03] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=request_gatepass role=contractor | Application 'APP-1' not found
[2026-05-10 16:45:35] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-1' not found
[2026-05-10 16:48:45] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=verify role=welfare_admin | Application 'APP-1' not found
[2026-05-10 16:49:06] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=complete_training role=welfare_admin | Application 'APP-1' not found
[2026-05-10 16:57:38] [FAIL] app=APP-1 from=UNKNOWN to=acc_generated action=set_status role=pass_user | Application 'APP-1' not found
[2026-05-10 16:59:59] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=verify role=welfare_admin | Application 'APP-1' not found
[2026-05-10 17:00:03] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=complete_training role=welfare_admin | Application 'APP-1' not found
[2026-05-11 10:28:31] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=verify role=welfare_admin | Application 'APP-1' not found
[2026-05-11 10:28:36] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=complete_training role=welfare_admin | Application 'APP-1' not found
[2026-05-11 10:31:58] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=request_gatepass role=contractor | Application 'APP-1' not found
[2026-05-11 10:33:22] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-1' not found
[2026-05-11 10:33:26] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-1' not found
[2026-05-11 10:33:30] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-1' not found
[2026-05-11 10:33:32] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-1' not found
[2026-05-11 10:33:35] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-1' not found
